provider_id,fund_name,fund_code,group_label,annual_fund_fee_percent,unit_price,unit_price_quote_unit,source_url,confidence,notes
legal-general,L&G PMC HSBC Islamic Global Equity Index Fund 3,GB00BJXRF945,Global equity,0.2,47.9037,gbx,https://fundcentres.landg.com/en/uk/private-investors/fund-centre/,98,"User/provider screen value supplied 2026-06-15: 4,790.37p and 0.2% fund management charge. Check workplace plan/platform charge separately."
legal-general,L&G PMC Lazard Emerging Markets 3,,Emerging markets,0.94,23.4455,gbx,https://fundcentres.landg.com/en/uk/private-investors/fund-centre/,98,"User/provider screen value supplied 2026-06-15: 2,344.55p and 0.94% fund management charge. Check workplace plan/platform charge separately."
legal-general,L&G PMC CT Responsible Global Equity Fund 3,,Responsible global equity,0.74,19.6497,gbx,https://fundcentres.landg.com/en/uk/private-investors/fund-centre/,98,"User/provider screen value supplied 2026-06-15: 1,964.97p and 0.74% fund management charge. Check workplace plan/platform charge separately."
legal-general,L&G PMC Multi-Asset 3,,Multi-asset,0.13,2.6582,gbx,https://fundcentres.landg.com/en/uk/private-investors/fund-centre/,98,User/provider screen value supplied 2026-06-15: 265.82p and 0.13% fund management charge. Check workplace plan/platform charge separately.
legal-general,L&G PMC UK Equity Index Fund 3,,UK equity,,,gbx,https://fundcentres.landg.com/en/uk/private-investors/fund-centre/,50,Needs provider/source refresh before relying on fee/price.
legal-general,L&G PMC UK Equity Index Fund 5,,UK equity,,,gbx,https://fundcentres.landg.com/en/uk/private-investors/fund-centre/,50,Needs provider/source refresh before relying on fee/price.
legal-general,L&G PMC UK Smaller Companies Fund 3,,UK smaller companies,,,gbx,https://fundcentres.landg.com/en/uk/private-investors/fund-centre/,50,Needs provider/source refresh before relying on fee/price.
legal-general,L&G PMC World ex-UK Equity Index Fund 3,,Global equity,,,gbx,https://fundcentres.landg.com/en/uk/private-investors/fund-centre/,50,Needs provider/source refresh before relying on fee/price.
legal-general,L&G PMC World ex-UK Equity Index Fund 5,,Global equity,,,gbx,https://fundcentres.landg.com/en/uk/private-investors/fund-centre/,50,Needs provider/source refresh before relying on fee/price.
legal-general,L&G PMC North America Equity Index Fund 3,,North America equity,,,gbx,https://fundcentres.landg.com/en/uk/private-investors/fund-centre/,50,Needs provider/source refresh before relying on fee/price.
